Temperature,Relative_Humidity,Condition
25.6,66.4,0
25.8,71.01,2
27,70.72,2
28.2,64.95,0
27.7,69.47,2
27.9,67.43,2
27.1,69.79,2
28.7,64.53,2
28,63.91,0
27.9,63.54,2
26.9,63.28,2
26.4,63.64,2
26.3,67.75,0
27.2,67.98,0
27.6,67.16,0
27.1,73.98,2
28,65.53,2
27.5,68.17,2
26.1,68.84,2
27.7,64.94,0
27.7,68.59,0
28,70.82,2
29.2,62.23,2
25.5,63.81,5
26.5,54.4,0
26.5,54.99,0
26.9,57.89,0
28,60.34,0
27.8,65.94,0
28.4,67.62,5
28.8,65.77,2
28.7,65.23,2
29.2,60.13,0
28.5,64.16,2
28.9,61.24,2
28.6,63.16,2
29.1,62.05,2
28.6,66.09,2
27.8,69.69,0
28.7,62.18,0
23.2,84.99,0
28.9,62.55,0
27.7,68.4,0
28.1,66.29,0
28.4,64.54,0
28.9,61.18,0
29.3,60.74,0
30.2,59.13,2
29.2,67.63,2
28.1,71.41,2
29,69.67,2
29.4,67.49,2
29,66.65,2
28.5,65.69,2
29.3,64.84,2
29.3,65.88,2
29.5,66.49,2
29.6,65.09,2
28.8,68.77,5
29.3,60.13,2
29.8,55.86,2
29.6,60.66,5
29.8,59.93,2
29.4,64.31,2
29.2,64.89,2
28.1,67.65,5
29.3,61.91,2
28.6,68.17,2
29.6,62.79,0
30.7,58.82,0
30.4,57.88,0
29,60.13,0
29.7,60.41,2
30.4,61.29,2
29.2,64.89,2
29.8,62.14,2
29.6,66.44,2
27.6,79.81,2
27.1,82,5
28.2,77.05,2
28.2,77.63,5
29.9,67.68,2
29.6,67.21,2
29.7,65.02,2
30.4,62.5,2
29.9,68.01,5
30.7,63.61,2
31.2,61.4,2
30.6,63.78,2
30,67,2
30.2,64.86,5
31.1,61.32,2
30.1,66.62,2
27.9,79.34,5
28,81.06,5
28.1,80.58,5
